#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
87.0%	435000	869.999999993251	-869689.7823153706	132767.5	-736922.2823153706	300.60730229923064	522.8646329600479	1.01402794919648	17.4	10:44
88.0%	440000	879.9999999930145	-869923.0237170705	132970.03125	-736952.9924670705	301.0658661246683	522.1490912090472	1.015417551029649	17.6	9:48
89.0%	445000	889.999999992778	-869192.5347631415	132865.59375	-736326.9410131415	300.82940256894966	524.5083832449	1.0108500996451957	17.8	8:53
90.0%	450000	899.9999999925416	-870820.615429291	132339.828125	-738480.787304291	299.63898333101173	520.9617711049958	1.0177317816300766	18	7:59
91.0%	455000	909.9999999923051	-871049.8643371817	132362.0	-738687.8643371817	299.6891840769071	521.7788912852764	1.0161379855015396	18.2	7:07
92.0%	460000	919.9999999920686	-869882.1236659973	132659.453125	-737222.6705409973	300.3626665290639	520.7630088710898	1.0181202244322496	18.4	6:16
93.0%	465000	929.9999999918322	-869546.2795994068	133040.1875	-736506.0920994068	301.224711331906	523.2988601596974	1.0131865208077167	18.6	5:25
94.0%	470000	939.9999999915957	-869190.9896858432	132344.28125	-736846.7084358432	299.64906593325287	522.6087439340265	1.0145244556696114	18.7	4:36
95.0%	475000	949.9999999913592	-869208.5603292328	131175.90625	-738032.6540792328	297.0036741255901	520.1620372645181	1.0192965143248722	18.9	3:48
96.0%	480000	959.9999999911228	-871492.0017301398	131285.4375	-740206.5642301398	297.2516707631706	520.6354527771199	1.0183696646851708	19.1	3:00
97.0%	485000	969.9999999908863	-871379.0035966071	132301.65625	-739077.3473466071	299.5525559721517	521.2280778159154	1.017211800426263	19.3	2:14
98.0%	490000	979.9999999906498	-870543.784346899	133573.03125	-736970.753096899	302.4311566007745	521.417885561054	1.016841512633086	19.4	1:28
99.0%	495000	989.9999999904134	-869683.6975426627	131289.046875	-738394.6506676627	297.25984297761863	522.74860933337	1.0142530118711919	19.6	0:44
100.0%	500000	999.9999999901769	-870101.5780878509	131882.25	-738219.3280878509	298.60295172879444	524.4572233680724	1.0109487062889497	19.8	0:00
101.0%	505000	1009.9999999899404	-870079.7310974007	132217.0	-737862.7310974007	299.3608803969147	521.7755069455566	1.0161445763746246	20	23:59:17
102.0%	510000	1019.999999989704	-869044.958709613	133341.34375	-735703.614959613	301.9065782638212	522.0549882436881	1.0156005850103245	20.1	23:58:35
103.0%	515000	1029.9999999894676	-870694.0072548948	132972.65625	-737721.3510048948	301.07180955335775	521.2153661506289	1.0172366087047064	20.3	23:57:53
104.0%	520000	1039.9999999892311	-869732.01230687	133291.875	-736440.13730687	301.79457293506516	521.4893293412576	1.016702205848761	20.5	23:57:12
105.0%	525000	1049.9999999889947	-869748.6238983581	133197.328125	-736551.2957733581	301.58050336958735	522.5972350650799	1.0145467979787934	20.6	23:56:31
106.0%	530000	1059.9999999887582	-870119.991938326	133431.5	-736688.491938326	302.1107067372647	521.8394745022725	1.016020016449596	20.8	23:55:51
107.0%	535000	1069.9999999885217	-870655.9710415923	132227.53125	-738428.4397915923	299.38472486677625	520.181981293431	1.0192574340032086	21	23:55:12
108.0%	540000	1079.9999999882853	-870063.7993526468	133795.984375	-736267.8149776468	302.93595888631455	521.595576075022	1.016495108063547	21.1	23:54:33
109.0%	545000	1089.9999999880488	-870856.8753971164	133215.03125	-737641.8441471164	301.62058613568985	522.0403996677785	1.0156289662739921	21.3	23:53:55
110.0%	550000	1099.9999999878123	-870268.4805779615	131839.78125	-738428.6993279615	298.5067955432104	522.5694927803638	1.0146006584634106	21.5	23:53:18
111.0%	555000	1109.9999999875758	-868916.1707296027	133160.84375	-735755.3269796027	301.4978967863134	523.3926770463354	1.0130049095450175	21.6	23:52:41
112.0%	560000	1119.9999999873394	-871730.5945127029	132764.15625	-738966.4382627029	300.5997315031618	523.6544914867046	1.0124984318621262	21.8	23:52:04
113.0%	565000	1129.999999987103	-870085.1863814015	133080.875	-737004.3113814015	301.31683447659344	520.4119411650812	1.0188070440521688	21.9	23:51:28
114.0%	570000	1139.9999999868664	-870011.5411273097	133151.359375	-736860.1817523097	301.47642261241737	521.7527345208501	1.0161889270302615	22.1	23:50:53
115.0%	575000	1149.99999998663	-870166.767437581	132381.8125	-737784.954937581	299.73404281249225	522.0102327541529	1.0156876593596422	22.2	23:50:18
116.0%	580000	1159.9999999863935	-870651.0392475664	132696.546875	-737954.4923725664	300.4466528368551	522.413361508626	1.0149038874823897	22.4	23:49:43
117.0%	585000	1169.999999986157	-870147.2437163228	132364.875	-737782.3687163228	299.69569354642425	521.2881386678438	1.0170946011217068	22.5	23:49:09
118.0%	590000	1179.9999999859206	-871563.9927420821	132319.984375	-739244.0083670821	299.5940538403231	521.6174142623443	1.016452551181865	22.7	23:48:35
119.0%	595000	1189.999999985684	-870330.1712358291	132123.03125	-738207.1399858291	299.14811980085074	520.8549160305062	1.01794057260428	22.8	23:48:02
