#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
95.0%	475000	949.9999999913592	-759452.1244801539	117297.0703125	-642155.0541676539	300.1073185933736	459.6462857086718	1.0202931199100196	28.6	2:31
96.0%	480000	959.9999999911228	-758872.7163713248	117390.28125	-641482.4351213248	300.34580097355723	460.4770143885674	1.0184524487578777	28.6	2:00
97.0%	485000	969.9999999908863	-759296.8559276043	118035.2421875	-641261.6137401043	301.995948731169	461.27511266180426	1.0166903221691765	28.6	1:30
98.0%	490000	979.9999999906498	-760498.6293829354	117891.453125	-642607.1762579354	301.628061026259	461.27170276785154	1.0166978379265068	28.6	1:00
99.0%	495000	989.9999999904134	-758476.6667848746	117088.4765625	-641388.1902223746	299.5736265683208	460.8560648763453	1.0176147796310022	28.6	0:30
100.0%	500000	999.9999999901769	-759727.1707643475	117237.640625	-642489.5301393475	299.9552663373969	461.407272669245	1.016399113494104	28.6	0:00
101.0%	505000	1009.9999999899404	-759005.6757387212	116792.125	-642213.5507387212	298.81540411190406	460.77235818339574	1.0177996456855445	28.6	23:59:30
102.0%	510000	1019.999999989704	-759442.3220102107	117073.3125	-642369.0095102107	299.53482895706134	460.2427943071913	1.0189707447928757	28.6	23:59:00
103.0%	515000	1029.9999999894676	-760690.1747772871	116998.7265625	-643691.4482147871	299.34399907829055	461.15313694995194	1.016959238318376	28.6	23:58:30
104.0%	520000	1039.9999999892311	-759949.0294426545	117679.046875	-642269.9825676545	301.0846146301116	460.88335611734027	1.0175545214988253	28.6	23:58:00
105.0%	525000	1049.9999999889947	-759691.8718138365	117323.0234375	-642368.8483763365	300.1737202752921	460.77274910359705	1.0177987821829975	28.6	23:57:29
106.0%	530000	1059.9999999887582	-759719.9055335713	116820.078125	-642899.8274085713	298.8869228409542	459.7173781694282	1.02013533786385	28.6	23:56:59
107.0%	535000	1069.9999999885217	-761302.6168324184	117849.1484375	-643453.4683949184	301.5198234863466	458.92715314756083	1.0218919052496371	28.6	23:56:29
108.0%	540000	1079.9999999882853	-759572.3439337299	116888.7109375	-642683.6329962299	299.0625215091223	461.4563128545406	1.0162910980667026	28.6	23:55:59
109.0%	545000	1089.9999999880488	-759839.7817822206	117300.4921875	-642539.2895947206	300.1160735412003	460.15523620722627	1.0191646340183234	28.6	23:55:28
110.0%	550000	1099.9999999878123	-759632.5756132789	117247.25	-642385.3256132789	299.979852149787	460.54884146366817	1.018293611184232	28.6	23:54:58
111.0%	555000	1109.9999999875758	-759624.5879007843	116773.359375	-642851.2285257843	298.7673918181146	460.4827819174075	1.0184396926807753	28.6	23:54:28
112.0%	560000	1119.9999999873394	-759059.8386875568	117590.75	-641469.0886875568	300.85870499463795	461.0753200161265	1.017130873290616	28.6	23:53:58
113.0%	565000	1129.999999987103	-760510.8781664581	116622.328125	-643888.5500414581	298.38097480581797	459.01829223587976	1.0216890063713566	28.6	23:53:27
114.0%	570000	1139.9999999868664	-760133.6438177996	117929.921875	-642203.7219427996	301.7264842296807	461.1034773565424	1.0170687620690504	28.6	23:52:57
115.0%	575000	1149.99999998663	-759384.7444813917	116706.875	-642677.8694813917	298.5972899779199	460.37700401034925	1.0186736931156763	28.6	23:52:27
116.0%	580000	1159.9999999863935	-759553.5220578928	117623.15625	-641930.3658078928	300.94161714894204	461.5486064113642	1.016087875439864	28.6	23:51:57
117.0%	585000	1169.999999986157	-760887.826494298	117012.59375	-643875.232744298	299.37947860430063	460.88673607662145	1.0175470591602946	28.6	23:51:26
118.0%	590000	1179.9999999859206	-760444.1248783241	116902.640625	-643541.4842533241	299.09816094285526	460.6825211927962	1.017998125230557	28.6	23:50:56
119.0%	595000	1189.999999985684	-760520.7678526398	118004.03125	-642516.7366026398	301.9160948120646	461.88250443828525	1.0153533385532583	28.6	23:50:26
